scenario,time_window,metric,baseline_gap,current_gap,baseline_adjusted_drift,absolute_drift,p_value_adjusted,reject_null,drift_threshold,drift_flag
equal_opportunity_drift,0,selection_parity_gap,-0.05330665789976752,-0.04831934525216075,0.0049873126476067675,0.0049873126476067675,0.15231061341427693,False,0.03,False
equal_opportunity_drift,1,selection_parity_gap,-0.05330665789976752,-0.058293970547374285,-0.0049873126476067675,0.0049873126476067675,0.08682410246372467,False,0.03,False
equal_opportunity_drift,2,selection_parity_gap,-0.05330665789976752,-0.0176993609335927,0.03560729696617482,0.03560729696617482,0.6465676555263895,False,0.03,False
equal_opportunity_drift,3,selection_parity_gap,-0.05330665789976752,-0.07956413730175732,-0.026257479401989803,0.026257479401989803,0.016897415100124547,True,0.03,False
equal_opportunity_drift,4,selection_parity_gap,-0.05330665789976752,-0.13460424925393083,-0.08129759135416331,0.08129759135416331,3.6515329013627776e-05,True,0.03,True
equal_opportunity_drift,5,selection_parity_gap,-0.05330665789976752,-0.09741594887468741,-0.04410929097491989,0.04410929097491989,0.003786832625181631,True,0.03,True
equal_opportunity_drift,6,selection_parity_gap,-0.05330665789976752,-0.14037687792480796,-0.08707022002504045,0.08707022002504045,6.682947238309106e-06,True,0.03,True
equal_opportunity_drift,7,selection_parity_gap,-0.05330665789976752,-0.23325674883525815,-0.17995009093549064,0.17995009093549064,1.3722614884618083e-15,True,0.03,True
false_positive_rate_drift,0,selection_parity_gap,-0.044782699303812096,-0.031938279963556415,0.01284441934025568,0.01284441934025568,0.3657235292269547,False,0.03,False
false_positive_rate_drift,1,selection_parity_gap,-0.044782699303812096,-0.057627118644067776,-0.01284441934025568,0.01284441934025568,0.08782435129740519,False,0.03,False
false_positive_rate_drift,2,selection_parity_gap,-0.044782699303812096,-0.05295915532092249,-0.008176456017110395,0.008176456017110395,0.11544111973806759,False,0.03,False
false_positive_rate_drift,3,selection_parity_gap,-0.044782699303812096,-0.050170150704910044,-0.005387451401097948,0.005387451401097948,0.1368809860232495,False,0.03,False
false_positive_rate_drift,4,selection_parity_gap,-0.044782699303812096,0.02708563263286362,0.07186833193667572,0.07186833193667572,0.46125341516047696,False,0.03,False
false_positive_rate_drift,5,selection_parity_gap,-0.044782699303812096,0.061147162096093166,0.10592986139990526,0.10592986139990526,0.07442923755172891,False,0.03,False
false_positive_rate_drift,6,selection_parity_gap,-0.044782699303812096,0.03878721205453878,0.08356991135835087,0.08356991135835087,0.27139922822896284,False,0.03,False
false_positive_rate_drift,7,selection_parity_gap,-0.044782699303812096,0.05989155073558822,0.10467425003940031,0.10467425003940031,0.08122323676068256,False,0.03,False
multiple_testing_false_alarm_control,0,selection_parity_gap,-0.07281747574973055,-0.08786208735652618,-0.015044611606795627,0.015044611606795627,0.008568918939835395,True,0.03,False
multiple_testing_false_alarm_control,1,selection_parity_gap,-0.07281747574973055,-0.05777286414293492,0.015044611606795627,0.015044611606795627,0.08682410246372467,False,0.03,False
multiple_testing_false_alarm_control,2,selection_parity_gap,-0.07281747574973055,-0.03359731554809875,0.0392201602016318,0.0392201602016318,0.336086245198128,False,0.03,False
multiple_testing_false_alarm_control,3,selection_parity_gap,-0.07281747574973055,-0.08948882644185735,-0.016671350692126802,0.016671350692126802,0.008389999661693561,True,0.03,False
multiple_testing_false_alarm_control,4,selection_parity_gap,-0.07281747574973055,-0.0438122340765526,0.029005241673177945,0.029005241673177945,0.19928973222386395,False,0.03,False
multiple_testing_false_alarm_control,5,selection_parity_gap,-0.07281747574973055,-0.07347225356704029,-0.0006547778173097429,0.0006547778173097429,0.03072366679789026,True,0.03,False
multiple_testing_false_alarm_control,6,selection_parity_gap,-0.07281747574973055,-0.025901151162273872,0.046916324587456676,0.046916324587456676,0.4817457752050307,False,0.03,False
multiple_testing_false_alarm_control,7,selection_parity_gap,-0.07281747574973055,-0.09810633001422475,-0.025288854264494204,0.025288854264494204,0.004219551668300113,True,0.03,False
no_drift_baseline,0,selection_parity_gap,-0.06158172071169743,-0.05391171013011253,0.007670010581584896,0.007670010581584896,0.10883274390077344,False,0.03,False
no_drift_baseline,1,selection_parity_gap,-0.06158172071169743,-0.06925173129328233,-0.007670010581584896,0.007670010581584896,0.04044007901658087,True,0.03,False
no_drift_baseline,2,selection_parity_gap,-0.06158172071169743,-0.06447311397806443,-0.002891393266367004,0.002891393266367004,0.060379176925842964,False,0.03,False
no_drift_baseline,3,selection_parity_gap,-0.06158172071169743,-0.05719620247889107,0.0043855182328063624,0.0043855182328063624,0.09310289144600152,False,0.03,False
no_drift_baseline,4,selection_parity_gap,-0.06158172071169743,-0.06774537695590327,-0.00616365624420584,0.00616365624420584,0.04552477109501682,True,0.03,False
no_drift_baseline,5,selection_parity_gap,-0.06158172071169743,-0.08946766075178614,-0.027885940040088708,0.027885940040088708,0.008389999661693561,True,0.03,False
no_drift_baseline,6,selection_parity_gap,-0.06158172071169743,-0.06971713301393895,-0.008135412302241518,0.008135412302241518,0.03793277731875714,True,0.03,False
no_drift_baseline,7,selection_parity_gap,-0.06158172071169743,-0.10040592466638332,-0.03882420395468589,0.03882420395468589,0.003594199876690989,True,0.03,True
selection_parity_drift,0,selection_parity_gap,-0.0911604532325089,-0.11994805902585653,-0.02878760579334763,0.02878760579334763,0.0003732515280907708,True,0.03,False
selection_parity_drift,1,selection_parity_gap,-0.0911604532325089,-0.06237284743916127,0.02878760579334763,0.02878760579334763,0.0649532227145563,False,0.03,False
selection_parity_drift,2,selection_parity_gap,-0.0911604532325089,-0.04975578277461923,0.041404670457889675,0.041404670457889675,0.1402553599532759,False,0.03,False
selection_parity_drift,3,selection_parity_gap,-0.0911604532325089,-0.09229397401601708,-0.001133520783508174,0.001133520783508174,0.006376459730163084,True,0.03,False
selection_parity_drift,4,selection_parity_gap,-0.0911604532325089,-0.09513756166940751,-0.003977108436898608,0.003977108436898608,0.004622099422616919,True,0.03,False
selection_parity_drift,5,selection_parity_gap,-0.0911604532325089,-0.16216711713088094,-0.07100666389837204,0.07100666389837204,9.643239092059372e-08,True,0.03,True
selection_parity_drift,6,selection_parity_gap,-0.0911604532325089,-0.25934272352651866,-0.16818227029400976,0.16818227029400976,2.5776290700490618e-19,True,0.03,True
selection_parity_drift,7,selection_parity_gap,-0.0911604532325089,-0.2682725622834516,-0.17711210905094268,0.17711210905094268,1.971959829888093e-21,True,0.03,True
small_subgroup_drift,0,selection_parity_gap,-0.07270616838965549,-0.011251580278128948,0.06145458811152654,0.06145458811152654,0.9496950841994097,False,0.03,False
small_subgroup_drift,1,selection_parity_gap,-0.07270616838965549,-0.13416075650118203,-0.06145458811152654,0.06145458811152654,0.06187624750499002,False,0.03,False
small_subgroup_drift,2,selection_parity_gap,-0.07270616838965549,-0.03514538558786351,0.03756078280179198,0.03756078280179198,0.6793906970677861,False,0.03,False
small_subgroup_drift,3,selection_parity_gap,-0.07270616838965549,-0.04979518689196111,0.022910981497694383,0.022910981497694383,0.4897011474292822,False,0.03,False
small_subgroup_drift,4,selection_parity_gap,-0.07270616838965549,-0.21406205167230133,-0.14135588328264584,0.14135588328264584,0.003594199876690989,True,0.03,True
small_subgroup_drift,5,selection_parity_gap,-0.07270616838965549,-0.23512906846240178,-0.1624229000727463,0.1624229000727463,0.0017323801551992076,True,0.03,True
small_subgroup_drift,6,selection_parity_gap,-0.07270616838965549,-0.24815902833581432,-0.17545285994615883,0.17545285994615883,0.0008238726628409976,True,0.03,True
small_subgroup_drift,7,selection_parity_gap,-0.07270616838965549,-0.36750948166877373,-0.29480331327911824,0.29480331327911824,4.476810337769597e-08,True,0.03,True
